id,consumption,hodge_id,hodge_s,excluded,local_inconsistency,global_inconsistency,self_assessed_wealth,hamlet,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting,ranking_meeting_norm,HodgeCBT_targets,tradCBT_targets
25,899.2024,0,0.2321428571,25,0.1109898108,0.0,3.0,1,49,71,29,Hybrid,0.0,0.6901408450704225,Excluded,Excluded
302,479.3333,1,0.0178571429,302,0.1359951966,0.0,3.0,1,64,71,29,Hybrid,0.0,0.9014084507042254,Excluded,Excluded
468,421.7262,2,0.5535714286,468,0.1149629841,0.0,3.0,1,48,71,29,Hybrid,0.0,0.676056338028169,Excluded,Excluded
473,831.6846,3,-0.1964285714,473,0.09874871,0.0,2.0,1,15,71,29,Hybrid,0.0,0.2112676056338028,Excluded,Included
476,631.0358,4,0.2678571429,476,0.1165086888,0.0,2.0,1,53,71,29,Hybrid,0.0,0.7464788732394366,Excluded,Excluded
564,491.8988,5,-0.5892857143,564,0.1130851322,0.0,2.0,1,2,71,29,Hybrid,0.0,0.028169014084507043,Included,Included
627,384.6429,6,-0.375,627,0.1112409441,0.0,2.0,1,12,71,29,Hybrid,0.0,0.16901408450704225,Included,Included
816,350.0476,7,0.0892857143,816,0.0969623818,0.0,3.0,1,57,71,29,Hybrid,0.0,0.8028169014084507,Excluded,Excluded
1,308.0857,0,-0.4821428571,1,0.155330572,0.0,2.0,2,20,61,29,Full community,0.0,0.32786885245901637,Included,Included
4,149.9558,1,-0.5535714286,4,0.1198988991,0.0,2.0,2,25,61,29,Full community,0.0,0.4098360655737705,Included,Included
13,426.0685,2,0.6583333333,13,0.1360099824,0.0,3.0,2,49,61,29,Full community,0.0,0.8032786885245902,Excluded,Excluded
30,682.8928,3,0.0892857143,30,0.1438222156,0.0,2.0,2,53,61,29,Full community,0.0,0.8688524590163934,Excluded,Excluded
42,844.176,4,0.3892857143,42,0.1385445424,0.0,4.0,2,54,61,29,Full community,0.0,0.8852459016393442,Excluded,Excluded
125,503.5,5,-0.4107142857,125,0.1272730243,0.0,2.0,2,13,61,29,Full community,0.0,0.21311475409836064,Included,Included
146,352.1072,6,0.5773809524,146,0.1724891708,0.0,3.0,2,50,61,29,Full community,0.0,0.819672131147541,Excluded,Excluded
575,249.9167,7,0.0,575,0.1776980705,0.0,1.0,2,27,61,29,Full community,0.0,0.4426229508196721,Excluded,Included
638,209.1595,8,-0.2678571429,638,0.1411004891,0.0,2.0,2,55,61,29,Full community,0.0,0.9016393442622951,Excluded,Excluded
16,715.0675,0,0.6296296296,16,0.1325234165,0.0,6.0,3,95,116,63,Hybrid,0.0,0.8189655172413793,Excluded,Excluded
89,222.6348,1,-0.0555555556,89,0.1298665792,0.0,2.0,3,55,116,63,Hybrid,0.0,0.47413793103448276,Excluded,Included
174,1715.893,2,0.6296296296,174,0.2089344399,0.0,2.0,3,107,116,63,Hybrid,0.0,0.9224137931034483,Excluded,Excluded
191,327.3452,3,0.3333333333,191,0.1462296683,0.0,3.0,3,104,116,63,Hybrid,0.0,0.896551724137931,Excluded,Excluded
371,679.6691,4,-0.0888888889,371,0.1217604673,0.0,1.0,3,63,116,63,Hybrid,0.0,0.5431034482758621,Excluded,Included
599,690.4286,5,-0.6962962963,599,0.1233395524,0.0,2.0,3,22,116,63,Hybrid,0.0,0.1896551724137931,Included,Included
685,240.3006,6,-0.4037037037,685,0.1550049164,0.0,3.0,3,48,116,63,Hybrid,0.0,0.41379310344827586,Included,Included
987,199.1167,7,0.0740740741,987,0.211224659,0.0,2.0,3,52,116,63,Hybrid,0.0,0.4482758620689655,Excluded,Included
996,368.7004,8,-0.4222222222,996,0.1382516211,0.0,1.0,3,27,116,63,Hybrid,0.0,0.23275862068965517,Included,Included
147,183.0506,0,-0.7037037037,147,0.1124131944,0.0,1.0,4,15,43,16,Hybrid,1.0,0.3488372093023256,Included,Included
181,542.5187,1,0.7830687831,181,0.1119415521,0.0,2.0,4,40,43,16,Hybrid,1.0,0.9302325581395349,Excluded,Excluded
212,361.872,2,-0.1111111111,212,0.1011553991,0.0,2.0,4,29,43,16,Hybrid,1.0,0.6744186046511628,Excluded,Excluded
430,461.6686,3,0.3862433862,430,0.1096819008,0.0,2.0,4,38,43,16,Hybrid,1.0,0.8837209302325582,Excluded,Excluded
580,314.6865,4,0.6031746032,580,0.1256921973,0.0,3.0,4,39,43,16,Hybrid,1.0,0.9069767441860465,Excluded,Excluded
637,128.7687,5,-0.5396825397,637,0.1175747766,0.0,2.0,4,16,43,16,Hybrid,1.0,0.37209302325581395,Included,Included
814,858.7023,6,-0.2380952381,814,0.1188717439,0.0,3.0,4,22,43,16,Hybrid,1.0,0.5116279069767442,Excluded,Excluded
840,211.2381,7,0.1904761905,840,0.1107036131,0.0,2.0,4,28,43,16,Hybrid,1.0,0.6511627906976745,Excluded,Excluded
968,519.997,8,-0.3703703704,968,0.1286138459,0.0,2.0,4,20,43,16,Hybrid,1.0,0.46511627906976744,Included,Excluded
