hamlet,id,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting
2,1,20,61,29,Full community,0.0
2,4,25,61,29,Full community,0.0
2,11,45,61,29,Full community,0.0
2,13,49,61,29,Full community,0.0
2,20,52,61,29,Full community,0.0
2,30,53,61,29,Full community,0.0
2,42,54,61,29,Full community,0.0
2,43,30,61,29,Full community,0.0
2,47,48,61,29,Full community,0.0
2,75,35,61,29,Full community,0.0
2,76,18,61,29,Full community,0.0
2,104,56,61,29,Full community,0.0
2,110,19,61,29,Full community,0.0
2,122,58,61,29,Full community,0.0
2,125,13,61,29,Full community,0.0
2,143,46,61,29,Full community,0.0
2,146,50,61,29,Full community,0.0
2,172,33,61,29,Full community,0.0
2,187,15,61,29,Full community,0.0
2,190,51,61,29,Full community,0.0
2,205,11,61,29,Full community,0.0
2,227,16,61,29,Full community,0.0
2,237,60,61,29,Full community,0.0
2,253,14,61,29,Full community,0.0
2,261,10,61,29,Full community,0.0
2,268,12,61,29,Full community,0.0
2,277,24,61,29,Full community,0.0
2,278,3,61,29,Full community,0.0
2,286,61,61,29,Full community,0.0
2,306,37,61,29,Full community,0.0
2,320,22,61,29,Full community,0.0
2,433,1,61,29,Full community,0.0
2,439,42,61,29,Full community,0.0
2,465,23,61,29,Full community,0.0
2,496,41,61,29,Full community,0.0
2,498,21,61,29,Full community,0.0
2,501,29,61,29,Full community,0.0
2,526,6,61,29,Full community,0.0
2,556,26,61,29,Full community,0.0
2,575,27,61,29,Full community,0.0
2,636,36,61,29,Full community,0.0
2,638,55,61,29,Full community,0.0
2,641,32,61,29,Full community,0.0
2,643,31,61,29,Full community,0.0
2,665,43,61,29,Full community,0.0
2,688,2,61,29,Full community,0.0
2,690,44,61,29,Full community,0.0
2,696,57,61,29,Full community,0.0
2,698,47,61,29,Full community,0.0
2,702,17,61,29,Full community,0.0
2,759,59,61,29,Full community,0.0
2,761,5,61,29,Full community,0.0
2,771,40,61,29,Full community,0.0
2,773,34,61,29,Full community,0.0
2,822,39,61,29,Full community,0.0
2,853,7,61,29,Full community,0.0
2,862,9,61,29,Full community,0.0
2,873,8,61,29,Full community,0.0
2,915,38,61,29,Full community,0.0
2,955,4,61,29,Full community,0.0
2,971,28,61,29,Full community,0.0
8,1,81,106,57,Full community,0.0
8,10,94,106,57,Full community,0.0
8,27,48,106,57,Full community,0.0
8,28,53,106,57,Full community,0.0
8,44,45,106,57,Full community,0.0
8,54,93,106,57,Full community,0.0
8,59,89,106,57,Full community,0.0
8,78,104,106,57,Full community,0.0
8,80,52,106,57,Full community,0.0
8,82,68,106,57,Full community,0.0
8,85,46,106,57,Full community,0.0
8,100,42,106,57,Full community,0.0
8,102,39,106,57,Full community,0.0
8,107,51,106,57,Full community,0.0
8,134,69,106,57,Full community,0.0
8,135,38,106,57,Full community,0.0
8,143,34,106,57,Full community,0.0
8,175,59,106,57,Full community,0.0
8,187,62,106,57,Full community,0.0
8,188,28,106,57,Full community,0.0
8,203,61,106,57,Full community,0.0
8,212,29,106,57,Full community,0.0
8,230,97,106,57,Full community,0.0
8,232,41,106,57,Full community,0.0
8,237,23,106,57,Full community,0.0
8,241,54,106,57,Full community,0.0
8,257,90,106,57,Full community,0.0
8,261,105,106,57,Full community,0.0
8,272,30,106,57,Full community,0.0
8,306,67,106,57,Full community,0.0
8,307,24,106,57,Full community,0.0
8,315,99,106,57,Full community,0.0
8,326,20,106,57,Full community,0.0
8,328,21,106,57,Full community,0.0
8,332,33,106,57,Full community,0.0
8,351,95,106,57,Full community,0.0
8,362,32,106,57,Full community,0.0
8,364,17,106,57,Full community,0.0
8,368,74,106,57,Full community,0.0
8,383,58,106,57,Full community,0.0
8,392,18,106,57,Full community,0.0
8,406,75,106,57,Full community,0.0
8,408,13,106,57,Full community,0.0
8,410,11,106,57,Full community,0.0
8,413,63,106,57,Full community,0.0
8,416,55,106,57,Full community,0.0
8,448,100,106,57,Full community,0.0
8,457,9,106,57,Full community,0.0
8,466,36,106,57,Full community,0.0
8,473,8,106,57,Full community,0.0
8,479,82,106,57,Full community,0.0
8,495,103,106,57,Full community,0.0
8,497,86,106,57,Full community,0.0
8,498,40,106,57,Full community,0.0
8,501,56,106,57,Full community,0.0
8,511,35,106,57,Full community,0.0
8,514,87,106,57,Full community,0.0
8,518,10,106,57,Full community,0.0
8,522,27,106,57,Full community,0.0
8,524,31,106,57,Full community,0.0
8,534,12,106,57,Full community,0.0
8,541,57,106,57,Full community,0.0
8,549,80,106,57,Full community,0.0
8,557,66,106,57,Full community,0.0
8,561,102,106,57,Full community,0.0
8,569,14,106,57,Full community,0.0
8,580,60,106,57,Full community,0.0
8,581,106,106,57,Full community,0.0
8,588,92,106,57,Full community,0.0
8,600,88,106,57,Full community,0.0
8,624,50,106,57,Full community,0.0
8,630,49,106,57,Full community,0.0
8,642,84,106,57,Full community,0.0
8,658,79,106,57,Full community,0.0
8,660,44,106,57,Full community,0.0
8,681,37,106,57,Full community,0.0
8,696,7,106,57,Full community,0.0
8,702,101,106,57,Full community,0.0
8,717,25,106,57,Full community,0.0
8,722,19,106,57,Full community,0.0
8,724,26,106,57,Full community,0.0
8,753,22,106,57,Full community,0.0
8,757,6,106,57,Full community,0.0
